"Source:","C:\Users\David Castro\Downloads\Senior Project\Senior Project\VCA_2.0\VCA_2.0.sch"
"Date:","11/27/2021 6:58:21 PM"
"Tool:","Eeschema (5.1.12)-1"
"Generator:","D:\kicad\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","31"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Description","Height","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock"
"","","IC1","LM13700N_NOPB","SamacSys_Parts:LM13700N_NOPB","Package_DIP:DIP-16_W7.62mm_Socket_LongPads","http://www.ti.com/lit/ds/symlink/lm13700.pdf","Dual transconductance op amp,LM13700N Texas Instruments LM13700N/NOPB Dual Operational Amplifier Transconductance, 2MHz Push-Pull 3 to 28V, 16-Pin MDIP","4.318","Texas Instruments","LM13700N/NOPB","926-LM13700N/NOPB","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/LM13700N-NOPB?qs=X1J7HmVL2ZFKw9D7azZDXw%3D%3D"
"","","J1","Current Source","Connector_Generic:Conn_01x02","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","","","","","",""
"","","J2","Input 1","Connector:AudioJack2_SwitchT","custom:THONK-AudioJack-PJ398SM-W3.5mm","~","","","","","",""
"","","J3","Input 2","Connector:AudioJack2_SwitchT","custom:THONK-AudioJack-PJ398SM-W3.5mm","~","","","","","",""
"","","J4","Input 3","Connector:AudioJack2_SwitchT","custom:THONK-AudioJack-PJ398SM-W3.5mm","~","","","","","",""
"","","J5","Input 4","Connector:AudioJack2_SwitchT","custom:THONK-AudioJack-PJ398SM-W3.5mm","~","","","","","",""
"","","J10","Out 1","Connector:AudioJack2_SwitchT","custom:THONK-AudioJack-PJ398SM-W3.5mm","~","","","","","",""
"","","J11","OUt 2","Connector:AudioJack2_SwitchT","custom:THONK-AudioJack-PJ398SM-W3.5mm","~","","","","","",""
"","","J14","Power Rails","Connector_Generic:Conn_01x04","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~","","","","","",""
"","","R3","10k","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","","","","","",""
"","","R4","10k","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","","","","","",""
"","","R5","10k","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","","","","","",""
"","","R6","100k","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","","","","","",""
"","","R7","1k","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","","","","","",""
"","","R8","1k","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","","","","","",""
"","","R9","5k","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","","","","","",""
"","","R10","10k","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","","","","","",""
"","","R11","10k","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","","","","","",""
"","","R12","10k","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","","","","","",""
"","","R13","100k","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","","","","","",""
"","","R14","1k","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","","","","","",""
"","","R15","1k","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","","","","","",""
"","","R16","5k","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","","","","","",""
"","","RV1","10k","Device:R_POT_US","custom:POT_3_THT","~","","","","","",""
"","","RV2","10k","Device:R_POT_US","custom:POT_3_THT","~","","","","","",""
"","","RV3","10k","Device:R_POT_US","custom:POT_3_THT","~","","","","","",""
"","","RV4","10k","Device:R_POT_US","custom:POT_3_THT","~","","","","","",""
"","","RV5","10k","Device:R_POT_US","custom:POT_3_THT","~","","","","","",""
"","","RV6","10k","Device:R_POT_US","custom:POT_3_THT","~","","","","","",""
"","","U1","TL074","Amplifier_Operational:TL074","Package_DIP:DIP-14_W7.62mm_Socket_LongPads","http://www.ti.com/lit/ds/symlink/tl071.pdf","","","","","",""
"","","U2","TL074","Amplifier_Operational:TL074","Package_DIP:DIP-14_W7.62mm_Socket_LongPads","http://www.ti.com/lit/ds/symlink/tl071.pdf","","","","","",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Description","Height","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock"
"1","1","IC1","LM13700N_NOPB","SamacSys_Parts:LM13700N_NOPB","Package_DIP:DIP-16_W7.62mm_Socket_LongPads","http://www.ti.com/lit/ds/symlink/lm13700.pdf","Dual transconductance op amp,LM13700N Texas Instruments LM13700N/NOPB Dual Operational Amplifier Transconductance, 2MHz Push-Pull 3 to 28V, 16-Pin MDIP","4.318","Texas Instruments","LM13700N/NOPB","926-LM13700N/NOPB","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/LM13700N-NOPB?qs=X1J7HmVL2ZFKw9D7azZDXw%3D%3D"
"2","1","J1","Current Source","Connector_Generic:Conn_01x02","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","","","","","",""
"3","1","J2","Input 1","Connector:AudioJack2_SwitchT","custom:THONK-AudioJack-PJ398SM-W3.5mm","~","","","","","",""
"4","1","J3","Input 2","Connector:AudioJack2_SwitchT","custom:THONK-AudioJack-PJ398SM-W3.5mm","~","","","","","",""
"5","1","J4","Input 3","Connector:AudioJack2_SwitchT","custom:THONK-AudioJack-PJ398SM-W3.5mm","~","","","","","",""
"6","1","J5","Input 4","Connector:AudioJack2_SwitchT","custom:THONK-AudioJack-PJ398SM-W3.5mm","~","","","","","",""
"7","1","J10","Out 1","Connector:AudioJack2_SwitchT","custom:THONK-AudioJack-PJ398SM-W3.5mm","~","","","","","",""
"8","1","J11","OUt 2","Connector:AudioJack2_SwitchT","custom:THONK-AudioJack-PJ398SM-W3.5mm","~","","","","","",""
"9","1","J14","Power Rails","Connector_Generic:Conn_01x04","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~","","","","","",""
"10","6","R3, R4, R5, R10, R11, R12","10k","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","","","","","",""
"11","2","R6, R13","100k","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","","","","","",""
"12","4","R7, R8, R14, R15","1k","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","","","","","",""
"13","2","R9, R16","5k","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","","","","","",""
"14","6","RV1, RV2, RV3, RV4, RV5, RV6","10k","Device:R_POT_US","custom:POT_3_THT","~","","","","","",""
"15","2","U1, U2","TL074","Amplifier_Operational:TL074","Package_DIP:DIP-14_W7.62mm_Socket_LongPads","http://www.ti.com/lit/ds/symlink/tl071.pdf","","","","","",""
